geonameid	name	lat	lng	fclass	fcode	admin2	population
11421298	Mukkaravanipalli	13.35258	79.40264	P	PPL	554	0
11421299	Sikayapattada	13.34934	79.41103	P	PPL	554	0
11421300	Dasarinuttam	13.35571	79.39616	P	PPL	554	0
11421301	Thatitopukhandriga	13.35544	79.41092	P	PPL	554	0
11421302	Idigapalle	13.35686	79.41541	P	PPL	554	0
11421303	Alatturu	13.36452	79.40575	P	PPL	554	0
11421304	Annuru	13.36606	79.41399	P	PPL	554	0
11421305	Kotturu	13.364	79.39818	P	PPL	554	0
11421306	Upparapalle	13.36978	79.40142	P	PPL	554	0
11421307	Padirikuppam	13.37356	79.40502	P	PPL	554	0
11421308	Settigunta	13.36894	79.39322	P	PPL	554	0
11421309	Sidheswaraswami Konda	13.37802	79.38324	T	HLL	554	0
11421310	Kesavarajakuppam	13.38715	79.3954	P	PPL	554	0
11421311	Kanikammakandigai	13.38775	79.40787	P	PPL	554	0
11421312	Gollakhandriga	13.39178	79.39837	P	PPL	554	0
11421313	Rajulakhandriga	13.39322	79.40867	P	PPL	554	0
11421314	Gadanki	13.3917	79.34292	P	PPL	554	0
11421315	Punuguchenikhandriga	13.41021	79.39416	P	PPL	554	0
11421325	Nadimkhandriga	13.41046	79.40995	P	PPL	554	0
11421326	Chinndoravarikhandriga	13.41401	79.41716	P	PPL	554	0
11421327	Yerramarajupalli	13.42468	79.3461	P	PPL	554	0
11421328	Damarakuppam	13.43812	79.33947	P	PPL	554	0
11421329	Kotturu	13.44262	79.33535	P	PPL	554	0
11421330	Komaragunta	13.44951	79.34357	P	PPL	554	0
11421331	Petakhandriga	13.44761	79.36307	P	PPL	554	0
11421332	Pachikapallam	13.44125	79.36341	P	PPL	554	0
11421333	Tirumalrajupuram	13.44098	79.37131	P	PPL	554	0
11421334	Balasalaguntakhandriga	13.44398	79.38245	P	PPL	554	0
11421335	Kasavanuru	13.44703	79.39227	P	PPL	554	0
11421336	Ramakrishnamambapuram	13.445	79.39545	P	PPL	554	0
11421337	Garigadona	13.44839	79.41004	P	PPL	554	0
11421338	Bodu	13.42923	79.41721	S	TRIG	554	0
11421339	Mambedu	13.45807	79.38627	P	PPL	554	0
11421340	Tirumalakondamambapuram	13.4512	79.37105	P	PPL	554	0
11421341	Tellukadipallekhandriga	13.4521	79.36389	P	PPL	554	0
11421342	Saddikullapalle	13.45124	79.35657	P	PPL	554	0
11421343	Bommandodla	13.45594	79.36554	P	PPL	752	0
11421344	Govinduvallapallekhandriga	13.46176	79.35534	P	PPL	554	0
11421370	Erraguntakhandriga	13.46297	79.36131	P	PPL	752	0
11421371	Mekala Bodu	13.47251	79.33567	T	MT	752	0
11421372	Neluvarallakammapalli	13.49945	79.34865	P	PPL	752	0
11421373	Pullamanayudikhandriga	13.49715	79.34067	P	PPL	752	0
11421374	Kalepalle	13.49957	79.35938	P	PPL	752	0
11421375	Chittatturu	13.49947	79.36957	P	PPL	752	0
11421376	Gundai Konda	13.49527	79.39839	T	HLL	752	0
11421377	Odolavadi Konda	13.48253	79.40404	T	MT	752	0
11421378	Nalla Konda	13.48055	79.44039	T	MT	554	0
11421379	Narigadu Konda	13.47727	79.46062	T	HLL	554	0
11421380	Parangi Rai	13.46331	79.45691	T	HLL	554	0
11421381	Peral Konda	13.47526	79.49454	T	HLL	554	0
11421382	Pedda Konda	13.45861	79.42007	T	HLL	554	0
11421383	Baligadi Irlakhandriga	13.41468	79.42397	P	PPL	554	0
11421384	Chintatoppuirlakhandriga	13.41282	79.4347	P	PPL	554	0
11421385	Gollakhandriga	13.40992	79.4948	P	PPL	752	0
11421386	Derakhandriga	13.39829	79.48034	P	PPL	752	0
11421387	Damodaramaharajupuram	13.39032	79.47289	P	PPL	554	0
11421388	Surappanayudukhandriga	13.39126	79.46268	P	PPL	554	0
11421389	Rajekumaravenkataperumalrazumbahadurvaripeta	13.39623	79.42156	P	PPL	554	0
11421390	Ketumalmaharajupuram	13.38431	79.45517	P	PPL	554	0
11421391	Mittakhandriga	13.38794	79.45545	P	PPL	554	0
11421392	Mulakhandriga	13.38203	79.46392	P	PPL	554	0
11421393	Karvetikhandriga	13.3855	79.46864	P	PPL	554	0
11421394	Lakhmivilasapuram	13.37911	79.44185	P	PPL	554	0
11421395	Annakuppam	13.37456	79.4503	P	PPL	554	0
11421396	Vattaluru	13.37437	79.43972	P	PPL	554	0
11421397	Ondalvanipalle	13.37055	79.43633	P	PPL	554	0
11421398	Kotaravedu	13.37076	79.44626	P	PPL	554	0
11421399	Chengareddikhandriga	13.36884	79.42077	P	PPL	554	0
11421400	Krishnasamudram	13.36546	79.42457	P	PPL	554	0
11421401	Kannikapuram	13.3627	79.44066	P	PPL	554	0
11421402	Kuripati	13.35894	79.44727	S	TRIG	554	0
11421403	Goppisettipalle	13.35777	79.43304	P	PPL	554	0
11421404	Iduvaripalle	13.3561	79.42687	P	PPL	554	0
11421405	Amudalapeta	13.35579	79.44274	P	PPL	554	0
11421406	Kollagunta	13.34191	79.42189	P	PPL	554	0
11421407	Pudupattu	13.3442	79.44871	P	PPL	554	0
11421408	Surarajupattada	13.33644	79.45707	P	PPL	554	0
11421422	Rangayyapalli	13.33483	79.46656	P	PPL		0
11421423	Chengareddikhandriga	13.33951	79.453	P	PPL	554	0
11421424	Idigepeta	13.33376	79.47528	P	PPL		0
11421425	Sriramanayadupuram	13.33253	79.48345	P	PPL		0
11421426	Vengampeta	13.33775	79.4948	P	PPL	554	0
11421427	Nediyam	13.32953	79.49441	P	PPL		0
11421428	Kolattur	13.32946	79.47974	P	PPL		0
11421429	Vijayaraghavapura	13.32487	79.47352	P	PPL		0
11421430	Ichchambadi	13.32746	79.45182	P	PPL		0
11421431	Kesavarajupuram	13.32564	79.44703	P	PPL		0
11421437	Digavakalpattada	13.33237	79.43109	P	PPL		0
11421438	Egavakalpattada	13.32596	79.43068	P	PPL		0
11421439	Veligaram	13.32449	79.42409	P	PPL		0
11421467	Gundu Konda	13.27459	79.40547	T	MT	554	0
11421468	Ganiga Konda	13.47649	79.35179	T	MT	752	0
11421469	Balaganipalli	13.25892	79.30286	P	PPL	554	0
11421470	Suparvarajupuram	13.25997	79.30876	P	PPL	554	0
11421473	Egavanadurgapuram	13.25072	79.40624	P	PPL	554	0
11421824	Arapa Kona	13.81393	79.5239	H	STMI		0
11421825	Vapacheruvubadava Kalva	13.85632	79.51121	H	STMI		0
11421826	Marrimani Kona	13.8911	79.52572	H	STMI		0
11421827	Devara Kona	13.95617	79.50566	H	STMI		0
11421828	Rachachilama Kalva	13.96571	79.50482	H	STMI		0
11421829	Bata Kalva	13.96599	79.51165	H	STMI		0
11421830	Dalavayipalli	13.2451	79.25857	P	PPL	554	0
11421831	Kuppanapalli	13.24953	79.27061	P	PPL	554	0
11421832	Kuppanapalli	13.24538	79.27464	P	PPL	554	0
11421833	Vardarajupuram	13.24763	79.28005	P	PPL	554	0
11421834	Buttajangampalli	13.24936	79.27934	P	PPL	554	0
11421835	Singarachettuluru	13.24888	79.29061	P	PPL	554	0
11421836	Santhuru	13.24642	79.29583	P	PPL	554	0
11421837	Muthialavaripalli	13.24531	79.29349	P	PPL	554	0
11421838	Kannikapuram	13.24239	79.287	P	PPL	554	0
11421839	Varadarazulapuram	13.24279	79.27761	P	PPL	554	0
11421840	Narasingapuram	13.23823	79.27911	P	PPL	554	0
11421841	Chigarachettuluru	13.23411	79.27754	P	PPL	554	0
11421842	Vogguvaripalli	13.23403	79.2743	P	PPL	554	0
11421843	Ramapuram	13.2318	79.26949	P	PPL	554	0
11421844	Naralakhandrika	13.2366	79.26222	P	PPL	554	0
11421845	Samsapuram	13.23953	79.25842	P	PPL	554	0
11421846	Nagankhandrika	13.23437	79.2555	P	PPL	554	0
11421847	Bodappanvuru	13.2313	79.25392	P	PPL	554	0
11421848	Kalepalli	13.22869	79.2635	P	PPL	554	0
11421849	Midireddipalli	13.22744	79.27458	P	PPL	554	0
11421850	Bukkapatnam	13.22612	79.26332	P	PPL	554	0
11421851	Reddipalli	13.21651	79.25634	P	PPL	554	0
11421852	Singarachervuluru	13.2239	79.28192	P	PPL	554	0
11421853	Pitchireddipalli	13.22256	79.27647	P	PPL	554	0
11421854	Lakshminarayanapuram	13.22206	79.27112	P	PPL	554	0
11421855	Jivipalli	13.22091	79.28063	P	PPL	554	0
11421856	Bodireddikhandrika	13.21924	79.27309	P	PPL	554	0
11421857	Pachigunta	13.2166	79.2876	P	PPL	554	0
11421858	Pachigunta Reserved Forest	13.22621	79.30416	L	RESF		0
11421859	Gundlayenappakhandrika	13.23942	79.29977	P	PPL	554	0
11421860	Kamakhandigai	13.23954	79.32914	P	PPL	554	0
11421861	Chinnamudduluru	13.24039	79.31013	P	PPL	554	0
11421862	Ballavaradappanayudikhandriga	13.23537	79.32582	P	PPL	554	0
11421863	Ranipuram	13.2256	79.3233	P	PPLQ	554	0
11421864	Balapuram	13.21949	79.30742	P	PPL	554	0
11421865	Samsireddipalli	13.20882	79.25019	P	PPL	554	0
11421866	Arimanipalli	13.20673	79.25385	P	PPL	554	0
11421867	Gollapalli	13.20138	79.25308	P	PPL	554	0
11421868	Toppapalli	13.20055	79.25516	P	PPL	554	0
11421869	Dasaripalli	13.19018	79.2534	P	PPL	554	0
11421870	Tugundram	13.1911	79.26692	P	PPL	554	0
11421871	Kottur	13.19543	79.27314	P	PPL	554	0
11421872	Tatimakulapalli	13.19488	79.28792	P	PPL	554	0
11421873	Varadappanayudikhandigai	13.1952	79.29771	P	PPL	554	0
11421874	Golakhandigai	13.20036	79.30473	P	PPL	554	0
11421875	Kondalsanthur	13.20765	79.29053	P	PPL	554	0
11421876	Pillari Konda	13.20865	79.27518	T	HLL	554	0
11421877	Singasamudram	13.20695	79.30993	P	PPL	554	0
11421878	Rangapuram	13.19873	79.30966	P	PPL	554	0
11421879	Amidala	13.19363	79.3087	P	PPL	554	0
11421880	Chinnaamidala	13.19291	79.31607	P	PPL	554	0
11421881	Muniyappanayadikhandriga	13.19177	79.30087	P	PPL	554	0
11421882	Kaverirajapuram	13.19014	79.2943	P	PPL	554	0
11421883	Pillarikuppam	13.19457	79.28402	P	PPL	554	0
11421884	Voddanakhandriga	13.18101	79.25825	P	PPL	554	0
11421885	Kottur	13.18145	79.26297	P	PPL	554	0
11421886	Patapalaiyam	13.18154	79.26767	P	PPL	554	0
11421887	Narayanareddikhandriga	13.18519	79.27823	P	PPL	554	0
11421888	Malapalli	13.18411	79.27993	P	PPL	554	0
11421889	Putturu	13.18438	79.28737	P	PPL	554	0
11421890	Marakalakhandigai	13.17779	79.25935	P	PPL	554	0
11421891	Agraharam	13.17057	79.26063	P	PPL	554	0
11421892	Patavenkatapuram	13.16873	79.25321	P	PPL	554	0
11421893	Ramakrishnapuram	13.17416	79.28134	P	PPL	554	0
11421894	Erikam Konda	13.17481	79.31344	T	HLL	554	0
11421895	Kanreddicheruvu	13.164	79.25013	P	PPL	554	0
11421896	Kottavekatapuram	13.16417	79.25756	P	PPL	554	0
11421897	Durgam Konda	13.16565	79.2951	T	HLL	554	0
11421898	Yerrappanayudukhandriga	13.15405	79.28253	L	LCTY	554	0
11421899	Balakrishnapuram	13.16008	79.27632	P	PPL	554	0
11421900	Muttamvandlakhandriga	13.15824	79.26992	P	PPL	554	0
11421901	Emaraluvur	13.15368	79.27554	P	PPL	554	0
11421902	Koviyavur	13.14856	79.27263	P	PPL		0
11421903	Yerramreddivuru	13.15199	79.26587	P	PPL	554	0
11421904	Doddipalli	13.14886	79.26589	P	PPL		0
11421905	Naraguntipalem	13.15832	79.25535	P	PPL	554	0
11421906	Nerigelapalli	13.15634	79.25012	P	PPL	554	0
11421907	Kondareddipalli	13.14687	79.26102	P	PPL		0
11421908	Arthingivarayur	13.14441	79.2537	P	PPL	554	0
11421911	Timmasanapalli	13.13421	79.2728	P	PPL		0
11421912	Alimelumangapuram	13.13036	79.28323	P	PPL	554	0
11421913	Senginayakanpalaiyam	13.14037	79.27308	P	PPL		0
11421914	Peddunayakanpalaiyam	13.14234	79.27321	P	PPL		0
11421915	Nadumpattinampalaiyam	13.14522	79.27677	P	PPL		0
11421916	Narasimhapuram	13.14449	79.33134	P	PPL	554	0
11421917	Meddenattam	13.149	79.33638	P	PPL	554	0
11421918	Kannikapuram	13.11835	79.30116	L	LCTY	554	0
11421919	Venugopalapuram	13.12114	79.28652	P	PPL		0
11421920	Pudur	13.12828	79.27782	P	PPL		0
11421931	Devalambapuram	13.12664	79.33009	P	PPL		0
11422040	Tirunadharajapuram	13.12449	79.33936	P	PPL		0
11422041	Gurappakhandriga	13.12671	79.34219	L	LCTY		0
11422042	Kodandaramapuram	13.13181	79.33576	P	PPL	554	0
11422043	Allipulagunta	13.1308	79.34582	P	PPL	554	0
11422062	Poturajugunta	13.15189	79.3391	P	PPL	554	0
11422063	Tiruvengalanadharajupuram	13.15414	79.3337	P	PPL	554	0
11422069	Lakshminarasimhapuram	13.19551	79.33402	P	PPL	554	0
11422070	Ramalingapuram	13.19988	79.35333	P	PPL	554	0
11422071	Kannikapuram	13.19829	79.34988	P	PPL	554	0
11422072	Verluguddipalli	13.20082	79.35878	P	PPL	554	0
11422073	Mahadevapuram	13.20062	79.37225	P	PPL	554	0
11422074	Lingapuram	13.20184	79.37331	P	PPL	554	0
11422084	Matavalam	13.18987	79.3971	P	PPL	554	0
11422085	Kamapalaiyam	13.19407	79.39451	P	PPL	554	0
11422086	Palheri	13.19898	79.40306	P	PPL	554	0
11422087	Yerikinjedi	13.2055	79.40841	P	PPL	554	0
11422088	Bommarajupuram	13.20529	79.39242	P	PPL	554	0
11422089	Palasamudram	13.20913	79.3988	P	PPL	554	0
11422090	Hirikinjedi	13.21023	79.4074	P	PPL	554	0
11422091	Ramarajukhandriga	13.20374	79.38041	P	PPL	554	0
11422092	Kotturu	13.20627	79.37599	P	PPL	554	0
11422095	Aladavamana Bodu	13.23964	79.37554	T	MT	554	0
11422096	Bashu Bodu	13.23293	79.35179	T	MT	554	0
11422097	Panji Bodu	13.22397	79.34302	T	MT	554	0
11422098	Kuppakhandigai	13.24649	79.33782	P	PPL	554	0
11422099	Pulluru	13.2436	79.3343	P	PPL	554	0
11422100	Chemmanagunta	13.24506	79.35388	H	RSVT		0
11422112	Kollureddikhandriga	13.21893	79.4244	P	PPL	554	0
11422114	Krishnajimmapuram	13.2178	79.42983	P	PPL	554	0
11422115	Bodapaliperumallunayudikhandriga	13.21876	79.43043	P	PPL	554	0
11422116	Korakuppam	13.21832	79.44182	P	PPL	554	0
11422117	Kannikambapuram	13.22154	79.44446	P	PPL	554	0
11422124	Yerikinjeri	13.2108	79.42403	P	PPL	554	0
11422229	Paravolukhandrika	13.99569	79.53658	P	PPL	752	0
11422230	Paravolu	13.99672	79.54488	P	PPL	752	0
11422231	Balasamudram	13.9884	79.55906	P	PPL	752	0
11422232	Palemkota	13.97415	79.52102	P	PPL	752	0
11422233	Siddavaram	13.97961	79.54038	P	PPL	752	0
11422234	Mogadaspalli	13.97835	79.57398	P	PPL	752	0
11422235	Lallapeta	13.9665	79.5511	P	PPL	752	0
11422236	Marimanupenta River	13.96219	79.59002	H	STMI		0
11422237	Madigarpalli	13.98299	79.57686	P	PPL	752	0
11422238	Gundlasamudram	13.98729	79.5803	P	PPL	752	0
11422239	Gundlasamudram	13.98056	79.58062	P	PPL	752	0
11422240	Chintagunta	13.97071	79.57432	P	PPL	752	0
11422241	Ballavarikhandrika	13.96208	79.54932	P	PPL	752	0
11422242	Tiparajupalli	13.9568	79.53772	P	PPL	752	0
11422243	Mokkalapudi	13.96079	79.53301	P	PPL	752	0
11422244	Dacheruvu	13.94787	79.52763	P	PPL	752	0
11422245	Patabanda Kalva	13.96331	79.51697	H	STMI		0
11422246	Mannegunta	13.93743	79.55352	P	PPL	752	0
11422247	Chelikampadu	13.93584	79.54643	P	PPL	752	0
11422248	Bosagunta	13.93257	79.56243	P	PPL	752	0
11422249	Patirungalapalli	13.92873	79.57345	P	PPL	752	0
11422250	Mamelalapet	13.93305	79.58277	P	PPL	752	0
11422251	Gymkhana	13.94467	79.58024	P	PPL	752	0
11422252	Dharmapuram	13.9503	79.57343	P	PPL	752	0
11422253	Kurjagunta	13.9162	79.52498	P	PPL	752	0
11422254	Srinivasapuram	13.90928	79.53888	P	PPL	752	0
11422255	Ilagalur	13.91067	79.58618	P	PPL	752	0
11422256	Kumaravenkatappanayudupeta	13.90434	79.58657	P	PPL	752	0
11422257	Mamadigunta	13.90039	79.55918	P	PPL	752	0
11422258	Rapalli Kalva	13.94074	79.5758	H	STM		0
11422259	Mannavaram	13.89449	79.52936	P	PPL	752	0
11422260	Nimmaralapalli	13.88269	79.53116	P	PPL	752	0
11422261	Kandragunta	13.87738	79.5207	P	PPL	752	0
11422262	Rajugunta	13.88094	79.53889	P	PPL	752	0
11422263	Repalli	13.88379	79.54068	P	PPL	752	0
11422264	Govindaravpalli	13.89146	79.56519	P	PPL	752	0
11422265	Kalavagunta	13.87305	79.52284	P	PPL	752	0
11422266	Gundupalle	13.86486	79.52038	P	PPL	752	0
11422267	Kalampalli	13.85518	79.51219	P	PPL	752	0
11422268	Battulapalli	13.86808	79.53437	P	PPL	752	0
11422269	Yarlapudi	13.8546	79.52921	P	PPL	752	0
11422270	Suravaripalli	13.86178	79.54801	P	PPL	752	0
11422271	Mangalagunta	13.86058	79.55446	P	PPL	752	0
11422272	Patagunta	13.8596	79.5596	P	PPL	752	0
11422273	Timmavaram	13.86734	79.56769	P	PPL	752	0
11422274	Ammacheruvu	13.86788	79.57615	P	PPL	752	0
11422275	Vembedu	13.85938	79.58223	P	PPL	752	0
11422276	Vengalampalli	13.84659	79.58215	P	PPL	752	0
11422277	Vagavedu	13.8384	79.56269	P	PPL	752	0
11422278	Pallampetamalavada	13.83551	79.58458	P	PPL	752	0
11422279	Papanapalli	13.8341	79.54122	P	PPL	752	0
11422280	Upu Kona	13.8348	79.52413	H	STMI		0
11422281	Gurasari Kona	13.8534	79.55756	H	STMI		0
11422282	Brahmanapalli	13.83048	79.53476	P	PPL	752	0
11422283	Gollapalle	13.82271	79.53089	P	PPL	752	0
11422284	Bahadurvenkatapuram	13.82207	79.53328	P	PPL	752	0
11422285	Kadamalavandlapalli	13.82184	79.52542	P	PPL	752	0
11422286	Kuntipudi	13.81683	79.55068	P	PPL	752	0
11422287	Velampalli	13.82969	79.57064	P	PPL	752	0
11422288	Kottavuru	13.80752	79.54842	P	PPL	752	0
11422289	Ramanujapalli	13.79866	79.55301	P	PPL	752	0
11422290	Nagalidi Tippa	13.78597	79.50907	T	MT	752	0
11422291	Venkatampalaiyam	13.79381	79.55979	P	PPL	752	0
11422292	Chintalapalaiyam	13.80271	79.58238	P	PPL	752	0
11422293	Banduanlapalli	13.78863	79.56663	P	PPL	752	0
11422294	Malapalli	13.78856	79.57355	P	PPL	752	0
11422295	Amuduru	13.78102	79.56978	P	PPL	752	0
11422296	Mollampalli	13.77937	79.58623	P	PPL	752	0
11422297	Velikonda	13.76573	79.53281	T	MT	752	0
11422298	Rajulapalaiyam	13.776	79.58981	P	PPL	752	0
11422299	Panguru	13.76537	79.59981	P	PPL	752	0
11422300	Katrakayalagunta	13.75955	79.61853	P	PPL	752	0
11422301	Jangalapalli	13.75324	79.60315	P	PPL	752	0
11422302	Srinivasapuram	13.75204	79.60154	P	PPL	752	0
11422303	Jingilipalaiyam	13.76059	79.66509	P	PPL	752	0
11422304	Kumaragunta	13.77388	79.62738	P	PPL	752	0
11422305	Pagali	13.77875	79.61979	P	PPL	752	0
11422306	Madamala	13.8095	79.60754	P	PPL	752	0
11422307	Errugudipadu	13.78519	79.63172	P	PPL	752	0
11422308	Mutchavola	13.79779	79.63409	P	PPL	752	0
11422309	Dodlamitta	13.80264	79.63835	P	PPL	752	0
11422310	Bodavaripalli	13.79436	79.64296	P	PPL	752	0
11422311	Vudumulapadu	13.7941	79.6558	P	PPL	752	0
11422312	Mangalapuru Agraharam	13.80315	79.64377	P	PPL	752	0
11422313	Muddumudi Agraharam	13.80767	79.63937	P	PPL	752	0
11422314	Velavadu	13.82041	79.60907	P	PPL	752	0
11422315	Pallam	13.82396	79.58511	P	PPL	752	0
11422316	Gollapalli	13.8307	79.59253	P	PPL	752	0
11422317	Gangalapudi	13.83164	79.61041	P	PPL	752	0
11422318	Reddipalli	13.83077	79.64748	P	PPL	752	0
11422319	Obalayapalli	13.82304	79.6487	P	PPL	752	0
11422320	Chinnapeta	13.85547	79.63141	P	PPL	752	0
11422321	Kalavalapudi	13.86587	79.65468	P	PPL	752	0
11422322	Chinnapareddipalli	13.8572	79.6588	P	PPL	752	0
11422323	Kummarapeta	13.86718	79.66951	P	PPL	752	0
11422324	Guttikandavaripalli	13.86999	79.65947	P	PPL	752	0
11422325	Vupparapalli	13.87486	79.65086	P	PPL	752	0
11422326	Bhimavaram	13.87177	79.61527	P	PPL	752	0
11422327	Vampalli	13.88157	79.58734	P	PPL	752	0
11422328	Poli	13.87699	79.60063	P	PPL	752	0
11422329	Madigapalli	13.88972	79.59388	P	PPL	752	0
11422330	Singamambapuram	13.87832	79.62948	P	PPL	752	0
11422331	Olledu	13.90849	79.60317	P	PPL	752	0
11422332	Timmayagunta	13.91336	79.61169	P	PPL	752	0
11422333	Jaggarajupalli	13.91842	79.5852	P	PPLQ	752	0
